number,card1,text1,card2,text2,card3,text3,card4,text4,card5,text5,question,correctChoice,mathcodeCorrect,altChoice1,mathcodeAlt1,altChoice2,mathcodeAlt2,altChoice3,mathcodeAlt3
1,a-diamond.png,Ace of diamonds,a-diamond.png,Ace of diamonds,5-spade.png,5 of spades,10-club.png,10 of clubs,j-club.png,Jack of clubs,How many ways can you get a 1 pair?,onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\)
2,7-spade.png,7 of spades,7-spade.png,7 of spades,8-club.png,8 of clubs,9-heart.png,9 of hearts,10-diamond.png,10 of diamonds,How many ways can you get a 1 pair?,onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\)
3,10-heart.png,10 of hearts,10-heart.png,10 of hearts,q-heart.png,Queen of hearts,5-spade.png,5 of spades,7-club.png,7 of clubs,How many ways can you get a 1 pair?,onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\)
4,4-spade.png,4 of spades,4-spade.png,4 of spades,6-diamond.png,6 of diamonds,6-diamond.png,6 of diamonds,q-heart.png,Queen of hearts,How many ways can you get a 2 pair?,twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\)
4,j-heart.png,Jack of hearts,j-heart.png,Jack of hearts,k-spade.png,King of spades,k-spade.png,King of spades,4-club.png,4 of clubs,How many ways can you get a 2 pair?,twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\)
5,2-heart.png,2 of hearts,2-heart.png,2 of hearts,7-club.png,7 of clubs,7-club.png,7 of clubs,k-heart.png,King of hearts,How many ways can you get a 2 pair?,twoPairs,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{1}\binom{4}{1}\),wrongChoice3,\(\binom{13}{2}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),onePair,\(\binom{13}{1}\binom{4}{2}\times\binom{12}{3}\binom{4}{1}^3\),wrongChoice4,\(\binom{13}{2}\binom{4}{2}^2\times\binom{11}{3}\binom{4}{1}^3\)
6,k-heart.png,King of hearts,k-heart.png,King of hearts,k-heart.png,King of hearts,j-spade.png,Jack of spades,q-club.png,Queen of hearts,How many ways can you get a 3 of a kind?,threeKind,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice5,\(\binom{13}{3}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice6,\(\binom{13}{1}\binom{4}{3}^3\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice7,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{1}\)
7,3-spade.png,3 of spades,3-spade.png,3 of spades,3-spade.png,3 of spades,6-heart.png,6 of hearts,a-diamond.png,Ace of diamonds,How many ways can you get a 3 of a kind?,threeKind,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice5,\(\binom{13}{3}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice6,\(\binom{13}{1}\binom{4}{3}^3\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice7,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{1}\)
8,a-heart.png,Ace of hearts,a-heart.png,Ace of hearts,a-heart.png,Ace of hearts,2-spade.png,2 of spades,3-club.png,3 of clubs,How many ways can you get a 3 of a kind?,threeKind,\(\binom{13}{1}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice5,\(\binom{13}{3}\binom{4}{3}\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice6,\(\binom{13}{1}\binom{4}{3}^3\times\binom{12}{2}\binom{4}{1}^2\),wrongChoice7,\(\binom{13}{1}^3\binom{4}{3}\times\binom{12}{1}^2\binom{4}{1}\)
9,j-spade.png,Jack of spades,10-heart.png,10 of hearts,9-club.png,9 of clubs,8-spade.png,8 of spades,7-diamond.png,7 of diamonds,How many ways can you get a straight?,straight,\(\binom{10}{1}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\),flush,\(\binom{13}{5}\binom{4}{1}-\binom{10}{1}\binom{4}{1}\),wrongChoice8,\(\binom{13}{5}\binom{4}{1}^5\),wrongChoice9,\(\binom{13}{5}\binom{4}{1}^5-\binom{10}{1}\binom{4}{1}\)
